TestID;Bars;FinishingType;Machine1;SelectedRule;Filmnumber;Description;Shape;LongFace;ShortFace;DifficultArtwork;Transparant
MF100701-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF100701;324;Banderole ronde pot;269,71;50;1;1
MF100701-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;31;MF100701;324;Banderole ronde pot;269,71;50;0;0
MF100701-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF100701;324;Banderole ronde pot;269,71;50;0;1
MF100712-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF100712;POT 400GR - LBC;Banderole ronde pot;331,56;78,7;1;0
MF100712-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF100712;POT 400GR - LBC;Banderole ronde pot;331,56;78,7;1;1
MF100712-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF100712;POT 400GR - LBC;Banderole ronde pot;331,56;78,7;0;0
MF100712-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF100712;POT 400GR - LBC;Banderole ronde pot;331,56;78,7;0;1
MF100805-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF100805;RA 192 Lid;Deksel rechthoekig;176,9;112,9;1;0
MF100805-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF100805;RA 192 Lid;Deksel rechthoekig;176,9;112,9;1;1
MF100805-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF100805;RA 192 Lid;Deksel rechthoekig;176,9;112,9;0;0
MF100805-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF100805;RA 192 Lid;Deksel rechthoekig;176,9;112,9;0;1
MF100945-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF100945;Wojnar dekseltje;Deksel diverse;97,92;95,2;1;0
MF100945-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF100945;Wojnar dekseltje;Deksel diverse;97,92;95,2;1;1
MF100945-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF100945;Wojnar dekseltje;Deksel diverse;97,92;95,2;0;0
MF100945-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF100945;Wojnar dekseltje;Deksel diverse;97,92;95,2;0;1
